"user_id","birthdate","gender","married","has_children","home_country","home_city","home_airport","home_airport_lat","home_airport_lon","sign_up_date","session_count","total_page_clicks","flight_bookings","hotel_bookings"
"23557","1958-12-08","F","true","false","usa","new york","LGA","40.777","-73.872","2021-07-22","8","82","0","2"
"26878","2006-02-20","F","false","false","usa","honolulu","HNL","21.316","-157.927","2021-07-29","8","277","1","1"
"94883","1972-03-16","F","true","false","usa","kansas city","MCI","39.297","-94.714","2022-02-07","8","73","2","2"
"101486","1972-12-07","F","true","true","usa","tacoma","TCM","47.138","-122.476","2022-02-17","8","131","1","2"
"101961","1980-09-14","F","true","false","usa","boston","BOS","42.364","-71.005","2022-02-17","8","126","5","5"
"106907","1978-11-17","F","true","true","usa","miami","TNT","25.862","-80.897","2022-02-24","8","240","1","1"
"111296","1956-02-25","F","true","false","usa","seattle","BFI","47.53","-122.302","2022-03-02","8","93","1","0"
"112150","1970-04-13","F","false","false","canada","montreal","YHU","45.517","-73.417","2022-03-03","8","509","5","3"
"114104","1946-08-09","M","true","false","usa","las vegas","LAS","36.08","-115.152","2022-03-05","8","223","1","0"
"118043","1972-05-04","F","false","true","usa","los angeles","LAX","33.942","-118.408","2022-03-10","8","164","3","4"
"120851","1972-09-25","F","true","true","usa","santa ana","SNA","33.676","-117.868","2022-03-13","8","55","1","1"
"130612","1994-08-10","F","false","true","usa","philadelphia","PNE","40.082","-75.011","2022-03-25","8","225","1","2"
"131944","1991-05-14","F","true","false","usa","sacramento","MCC","38.667","-121.401","2022-03-26","8","278","1","0"
"133058","2005-04-07","F","false","false","usa","austin","AUS","30.194","-97.67","2022-03-27","8","73","1","0"
"140667","1972-04-16","F","true","false","usa","shreveport","SHV","32.446","-93.826","2022-04-05","8","387","3","3"
"149058","1973-01-22","F","false","true","usa","birmingham","BHM","33.563","-86.753","2022-04-14","8","142","5","5"
"152583","1986-07-26","F","false","false","usa","colorado springs","COS","38.806","-104.7","2022-04-17","8","149","1","1"
"153982","1978-08-15","F","false","true","canada","toronto","YKZ","43.862","-79.37","2022-04-19","8","150","3","3"
"160754","1977-12-06","F","true","true","usa","new york","LGA","40.777","-73.872","2022-04-26","8","86","1","1"
"163503","1977-05-19","M","false","false","usa","phoenix","PHX","33.434","-112.008","2022-04-29","8","281","2","2"
"164522","1975-11-07","F","true","false","usa","kansas city","MCI","39.297","-94.714","2022-04-30","8","89","1","1"
"167852","2006-02-16","F","false","false","usa","tampa","MCF","27.849","-82.521","2022-05-03","8","63","0","0"
"171470","1999-09-14","F","false","false","usa","atlanta","ATL","33.64","-84.427","2022-05-06","8","446","2","0"
"172471","1981-11-07","M","true","false","usa","honolulu","HNL","21.316","-157.927","2022-05-07","8","212","3","3"
"174997","1991-11-01","F","false","false","usa","grand rapids","GRR","42.881","-85.523","2022-05-10","8","252","3","2"
"177426","1993-03-18","F","false","false","usa","philadelphia","PNE","40.082","-75.011","2022-05-12","8","100","3","3"
"180492","1994-01-07","F","false","false","usa","new york","JFK","40.64","-73.779","2022-05-15","8","280","1","0"
"181157","1970-08-10","F","true","false","usa","houston","HOU","29.645","-95.279","2022-05-15","8","153","3","3"
"182191","2004-09-27","F","false","true","usa","phoenix","PHX","33.434","-112.008","2022-05-16","8","148","1","0"
"182503","2001-01-03","F","false","true","usa","sacramento","SAC","38.513","-121.493","2022-05-17","8","334","1","1"
"187212","1969-02-20","F","true","true","usa","los angeles","LAX","33.942","-118.408","2022-05-21","8","128","3","3"
"189676","1988-01-10","F","false","true","usa","fort worth","FTW","32.82","-97.362","2022-05-23","8","93","1","2"
"195192","1995-09-20","F","false","false","usa","chicago","MDW","41.786","-87.752","2022-05-28","8","225","1","1"
"199824","2003-04-15","F","false","false","usa","minneapolis","MSP","44.88","-93.217","2022-06-01","8","110","1","1"
"204943","1982-12-20","M","false","false","canada","ottawa","YOW","45.323","-75.669","2022-06-06","8","292","6","6"
"204997","1985-08-26","F","true","false","usa","kansas city","MCI","39.297","-94.714","2022-06-06","8","439","4","3"
"206011","1984-08-04","F","false","true","usa","kansas city","MCI","39.297","-94.714","2022-06-07","8","156","4","3"
"216796","2001-07-09","F","false","false","usa","cincinnati","CVG","39.046","-84.662","2022-06-16","8","125","1","1"
"217136","1985-04-18","F","false","true","usa","little rock","LIT","34.729","-92.224","2022-06-17","8","106","1","2"
"224996","1981-03-07","F","false","true","canada","halifax","YHZ","44.881","-63.509","2022-06-23","8","102","2","1"
"226367","1980-10-21","F","false","false","usa","washington","IAD","38.944","-77.456","2022-06-25","8","114","3","3"
"228872","1989-03-22","M","false","false","usa","san antonio","RND","29.529","-98.279","2022-06-27","8","126","1","2"
"229009","2006-08-27","F","false","false","usa","stockton","SCK","37.894","-121.239","2022-06-27","8","144","3","2"
"229108","1998-05-28","F","false","false","usa","burlington","BTV","44.472","-73.153","2022-06-27","8","321","1","0"
"229330","1976-11-08","F","true","false","usa","colorado springs","COS","38.806","-104.7","2022-06-27","8","129","4","4"
"232647","2006-04-11","F","false","false","usa","birmingham","BHM","33.563","-86.753","2022-06-30","8","100","1","1"
"249521","1964-07-23","F","true","true","canada","ottawa","YOW","45.323","-75.669","2022-07-15","8","151","1","2"
"250769","1979-08-04","F","true","true","usa","san diego","SAN","32.733","-117.189","2022-07-16","8","181","3","3"
"252835","1986-01-20","F","false","true","usa","chicago","ORD","41.979","-87.904","2022-07-18","8","117","5","4"
"253773","1967-03-20","F","true","false","usa","phoenix","PHX","33.434","-112.008","2022-07-18","8","329","2","1"
"258451","2000-12-10","F","false","false","usa","miami","OPF","25.907","-80.278","2022-07-22","8","167","0","1"
"264470","1978-11-05","F","false","true","usa","bakersfield","BFL","35.433","-119.057","2022-07-27","8","118","2","2"
"276512","1982-08-27","F","true","true","usa","austin","AUS","30.194","-97.67","2022-08-06","8","98","1","1"
"281952","1987-01-23","F","false","false","usa","louisville","LOU","38.228","-85.664","2022-08-11","8","158","2","2"
"283325","1973-05-15","F","true","false","usa","dallas","DAL","32.847","-96.852","2022-08-12","8","114","1","2"
"288210","1986-10-06","M","true","false","usa","atlanta","ATL","33.64","-84.427","2022-08-16","8","264","2","1"
"297546","1972-12-05","F","true","false","usa","new york","JFK","40.64","-73.779","2022-08-24","8","207","4","5"
"297771","1970-08-04","F","false","false","usa","buffalo","BUF","42.94","-78.732","2022-08-24","8","105","2","1"
"298253","1977-08-01","F","true","true","usa","los angeles","LAX","33.942","-118.408","2022-08-24","8","98","1","0"
"306165","2003-04-13","F","false","false","usa","cleveland","CLE","41.412","-81.85","2022-08-31","8","89","0","0"
"306819","1964-04-02","F","true","true","usa","new york","JFK","40.64","-73.779","2022-09-01","8","329","2","2"
"309396","2006-09-19","F","false","false","usa","shreveport","SHV","32.446","-93.826","2022-09-03","8","265","1","1"
"312488","1993-06-27","M","true","false","usa","new york","JFK","40.64","-73.779","2022-09-05","8","76","1","1"
"313724","1972-05-13","F","false","false","usa","tulsa","TUL","36.198","-95.888","2022-09-06","8","351","4","5"
"315421","1993-07-24","F","false","false","usa","new york","JFK","40.64","-73.779","2022-09-08","8","325","5","4"
"316527","1982-07-17","F","true","true","canada","winnipeg","YWG","49.91","-97.234","2022-09-08","8","139","4","4"
"317688","1983-05-19","F","false","true","usa","indianapolis","IND","39.717","-86.294","2022-09-09","8","133","4","4"
"322867","1977-12-07","F","false","false","usa","mobile","BFM","30.626","-88.068","2022-09-14","8","82","1","1"
"324191","1984-05-27","F","false","false","usa","san diego","SAN","32.733","-117.189","2022-09-15","8","86","2","2"
"327744","1992-11-05","F","true","true","usa","san antonio","RND","29.529","-98.279","2022-09-18","8","317","4","4"
"328395","2006-06-22","M","false","false","usa","houston","HOU","29.645","-95.279","2022-09-18","8","307","1","3"
"328590","1968-07-23","F","false","false","usa","san diego","NZY","32.699","-117.215","2022-09-18","8","383","3","2"
"330764","1985-02-06","F","false","false","usa","detroit","DET","42.409","-83.01","2022-09-20","8","375","1","2"
"330893","1980-12-16","F","true","true","usa","oklahoma city","OKC","35.393","-97.601","2022-09-20","8","133","3","3"
"331039","1979-08-02","F","true","true","canada","london","YXU","43.036","-81.154","2022-09-20","8","198","1","1"
"334612","1963-03-15","F","true","false","usa","salt lake city","SLC","40.788","-111.978","2022-09-23","8","240","1","0"
"334787","1971-04-27","F","false","false","usa","minneapolis","MSP","44.88","-93.217","2022-09-23","8","119","3","3"
"337227","1989-06-25","F","true","false","usa","santa ana","SNA","33.676","-117.868","2022-09-25","8","83","0","0"
"338086","1983-12-13","F","false","true","usa","washington","IAD","38.944","-77.456","2022-09-25","8","137","2","2"
"338549","2001-07-03","F","false","false","usa","los angeles","LAX","33.942","-118.408","2022-09-26","8","148","3","2"
"340166","1973-05-17","M","true","true","usa","san francisco","SFO","37.619","-122.375","2022-09-27","8","88","0","1"
"348817","1995-08-07","F","false","false","canada","calgary","YYC","51.114","-114.02","2022-10-04","8","125","3","4"
"348863","1957-01-13","F","true","false","usa","san antonio","SKF","29.384","-98.581","2022-10-04","8","81","0","0"
"350648","2006-03-02","F","false","false","usa","lincoln","LNK","40.851","-96.759","2022-10-05","8","295","1","1"
"353271","1997-09-05","F","false","true","usa","milwaukee","MKE","42.947","-87.896","2022-10-07","8","84","1","1"
"353694","1984-06-17","F","false","true","usa","new york","LGA","40.777","-73.872","2022-10-07","8","100","2","2"
"354050","1974-05-28","F","false","false","usa","detroit","DET","42.409","-83.01","2022-10-07","8","172","5","5"
"354260","1974-09-27","F","false","false","usa","providence","PVD","41.724","-71.428","2022-10-07","8","116","2","1"
"354311","1978-07-12","F","true","false","usa","tucson","DMA","32.166","-110.883","2022-10-08","8","98","2","1"
"354950","1970-10-19","M","true","false","usa","amarillo","AMA","35.219","-101.706","2022-10-08","8","100","1","1"
"356046","1989-10-17","F","false","false","canada","ottawa","YOW","45.323","-75.669","2022-10-09","8","101","2","2"
"357737","1982-10-04","F","true","true","usa","san diego","SAN","32.733","-117.189","2022-10-10","8","419","4","5"
"359072","1972-12-09","F","true","true","canada","montreal","YUL","45.468","-73.741","2022-10-11","8","318","3","3"
"359653","1968-12-26","M","false","false","canada","victoria","YYJ","48.647","-123.426","2022-10-12","8","127","2","2"
"361459","1982-09-16","F","true","true","usa","houston","EFD","29.607","-95.159","2022-10-13","8","59","1","1"
"363535","1993-05-15","F","false","false","usa","charlotte","CLT","35.214","-80.943","2022-10-14","8","248","3","3"
"365825","1979-05-10","F","false","false","usa","los angeles","LAX","33.942","-118.408","2022-10-16","8","355","1","2"
"366152","1973-08-14","F","true","false","usa","boston","BOS","42.364","-71.005","2022-10-16","8","513","3","3"
"371201","1996-01-16","M","false","true","usa","new york","JFK","40.64","-73.779","2022-10-20","8","105","1","0"
"372661","1970-07-20","M","true","false","usa","denver","DEN","39.858","-104.667","2022-10-21","8","300","1","1"
"372970","1990-04-01","F","false","false","usa","charlotte","CLT","35.214","-80.943","2022-10-21","8","100","2","2"
"374331","1981-12-01","M","false","false","usa","milwaukee","MKE","42.947","-87.896","2022-10-22","8","338","1","1"
"374341","1998-07-15","F","false","false","usa","detroit","YIP","42.238","-83.53","2022-10-22","8","105","0","3"
"375160","2003-11-23","F","false","false","usa","houston","EFD","29.607","-95.159","2022-10-22","8","41","0","0"
"375729","1971-04-12","F","false","false","usa","atlanta","ATL","33.64","-84.427","2022-10-23","8","142","3","3"
"375751","1974-02-09","F","true","false","usa","cleveland","CLE","41.412","-81.85","2022-10-23","8","192","3","2"
"376159","1982-01-24","F","false","false","usa","long beach","LGB","33.818","-118.151","2022-10-23","8","102","1","2"
"376258","1971-10-05","F","false","true","usa","riverside","RAL","33.952","-117.445","2022-10-23","8","354","4","2"
"376664","1990-10-09","F","false","true","usa","new york","LGA","40.777","-73.872","2022-10-23","8","127","2","1"
"377069","1956-03-06","F","true","false","usa","new york","LGA","40.777","-73.872","2022-10-24","8","260","1","0"
"377411","1986-05-24","F","true","false","canada","montreal","YMX","45.68","-74.039","2022-10-24","8","118","2","2"
"378565","1983-09-27","F","true","true","usa","nashville","BNA","36.124","-86.678","2022-10-25","8","136","2","5"
"379543","1968-01-06","F","true","false","usa","san jose","SJC","37.362","-121.929","2022-10-25","8","104","3","3"
"380434","1974-07-02","F","true","true","usa","oklahoma city","TIK","35.415","-97.386","2022-10-26","8","114","3","3"
"380436","1979-11-04","F","false","false","usa","new york","LGA","40.777","-73.872","2022-10-26","8","107","1","1"
"380757","1977-12-19","F","false","true","usa","los angeles","LAX","33.942","-118.408","2022-10-26","8","122","3","3"
"380874","1970-02-17","F","true","false","usa","louisville","LOU","38.228","-85.664","2022-10-26","8","117","3","3"
"380949","1978-02-03","F","false","false","usa","san antonio","SAT","29.534","-98.47","2022-10-26","8","432","5","4"
"381259","2002-12-04","F","false","true","usa","san diego","SAN","32.733","-117.189","2022-10-26","8","97","1","1"
"381465","1990-07-19","F","false","false","usa","san antonio","SAT","29.534","-98.47","2022-10-26","8","245","2","4"
"382181","1987-12-26","F","true","false","canada","halifax","YHZ","44.881","-63.509","2022-10-27","8","106","3","2"
"382384","1967-06-15","F","true","false","usa","st. petersburg","PIE","27.911","-82.687","2022-10-27","8","75","1","1"
"382533","2006-04-14","F","false","false","usa","long beach","LGB","33.818","-118.151","2022-10-27","8","70","0","0"
"384420","1973-02-08","F","true","true","usa","mobile","MOB","30.691","-88.243","2022-10-28","8","218","4","2"
"385689","1974-10-08","F","false","true","usa","nashville","BNA","36.124","-86.678","2022-10-29","8","92","3","4"
"386255","1992-04-05","F","false","true","usa","mobile","BFM","30.626","-88.068","2022-10-30","8","64","0","1"
"386914","1977-12-08","F","true","true","canada","hamilton","YHM","43.173","-79.935","2022-10-30","8","294","2","1"
"387282","1993-12-18","F","false","true","usa","amarillo","AMA","35.219","-101.706","2022-10-30","8","87","0","1"
"387783","1970-08-23","M","true","true","usa","oakland","OAK","37.721","-122.221","2022-10-31","8","87","1","3"
"387835","1994-07-19","F","false","true","canada","quebec","YQB","46.788","-71.398","2022-10-31","8","276","3","3"
"388767","1979-09-13","F","true","true","usa","tallahassee","TLH","30.396","-84.35","2022-10-31","8","104","1","1"
"389434","1982-05-03","F","false","false","usa","new york","LGA","40.777","-73.872","2022-11-01","8","444","5","5"
"389662","1985-08-09","F","false","false","usa","fresno","FAT","36.776","-119.718","2022-11-01","8","146","2","3"
"389759","1991-06-02","F","false","true","usa","anchorage","ANC","61.174","-149.996","2022-11-01","8","156","3","3"
"390811","1983-07-26","F","false","false","usa","los angeles","LAX","33.942","-118.408","2022-11-01","8","132","3","3"
"392453","1966-06-11","F","false","false","usa","el paso","ELP","31.807","-106.378","2022-11-02","8","78","1","1"
"395189","1968-08-01","F","false","true","usa","providence","PVD","41.724","-71.428","2022-11-04","8","291","3","3"
"395202","1997-09-27","F","false","false","usa","san jose","SJC","37.362","-121.929","2022-11-04","8","71","0","1"
"395981","1972-08-17","F","true","false","canada","vancouver","YVR","49.195","-123.182","2022-11-04","8","101","3","3"
"396552","1979-01-06","F","true","false","canada","london","YXU","43.036","-81.154","2022-11-05","8","109","4","4"
